1,/36/,divison,10000001,36,চট্টগ্রাম,http://www.chittagongdiv.gov.bd/,Chittagong,1
26,/36/28/78/911/,union,78,911,শিলমুড়ি (উ:) ইউনিয়ন,http://shilmurinorthup.comilla.gov.bd,Shilmurinorth,4
27,/36/28/78/912/,union,78,912,শিলমুড়ি (দ:) ইউনিয়ন,http://shilmurisouthup.comilla.gov.bd,Shilmurisouth,4
28,/36/28/78/913/,union,78,913,গালিমপুর ইউনিয়ন,http://galimpurup.comilla.gov.bd,Galimpur,4
29,/36/28/78/914/,union,78,914,শাকপুর ইউনিয়ন,http://shakpurup.comilla.gov.bd,Shakpur,4
30,/36/28/78/915/,union,78,915,ভাউকসার ইউনিয়ন,http://bhauksharup.comilla.gov.bd,Bhaukshar,4
31,/36/28/78/916/,union,78,916,আড্ডা ইউনিয়ন,http://addaup.comilla.gov.bd,Adda,4
32,/36/28/78/917/,union,78,917,আদ্রা ইউনিয়ন,http://adraup.comilla.gov.bd,Adra,4
33,/36/28/78/918/,union,78,918,পয়ালগাছা ইউনিয়ন,http://payalgachaup.comilla.gov.bd,Payalgacha,4
34,/36/28/78/919/,union,78,919,লক্ষীপুর ইউনিয়ন,http://laxmipurup.comilla.gov.bd,Laxmipur,4
35,/36/28/79/,upazilla,28,79,ব্রাহ্মণপাড়া উপজেলা,http://brahmanpara.comilla.gov.bd,Brahmanpara Upazilla,3
36,/36/28/79/572/,union,79,572,শিদলাই ইউনিয়ন,http://shidliup.comilla.gov.bd,Shidli,4
37,/36/28/79/573/,union,79,573,চান্দলা ইউনিয়ন,http://chandlaup.comilla.gov.bd,Chandla,4
38,/36/28/79/574/,union,79,574,শশীদল ইউনিয়ন,http://shashidalup.comilla.gov.bd,Shashidal,4
39,/36/28/79/575/,union,79,575,দুলালপুর (২) ইউনিয়ন,http://dulalpurup2.comilla.gov.bd,Dulalpurup2,4
40,/36/28/79/576/,union,79,576,ব্রাহ্মনপাড়া সদর ইউনিয়ন,http://brahmanparasadarup.comilla.gov.bd,Brahmanparasadar,4
41,/36/28/79/577/,union,79,577,সাহেবাবাদ ইউনিয়ন,http://shahebabadup.comilla.gov.bd,Shahebabad,4
42,/36/28/79/578/,union,79,578,মালাপাড়া ইউনিয়ন,http://malaparaup.comilla.gov.bd,Malapara,4
43,/36/28/79/3236/,union,79,3236,মাধবপুর ইউনিয়ন,http://madhabpurup.comilla.gov.bd,Madhabpur,4
44,/36/28/81/,upazilla,28,81,চান্দিনা উপজেলা,http://chandina.comilla.gov.bd,Chandina Upazilla,3
45,/36/28/81/968/,union,81,968,সুহিলপুর ইউনিয়ন,http://shuhilpurup.comilla.gov.bd,Shuhilpur,4
46,/36/28/81/970/,union,81,970,বাতাঘাসি ইউনিয়ন,http://bataghashiup.comilla.gov.bd,Bataghashi,4
47,/36/28/81/972/,union,81,972,জোয়াগ ইউনিয়ন,http://joagup.comilla.gov.bd,Joag,4
48,/36/28/81/973/,union,81,973,বরকরই ইউনিয়ন,http://borcaraiup.comilla.gov.bd,Borcarai,4
49,/36/28/81/974/,union,81,974,মাধাইয়া ইউনিয়ন,http://madhaiyaup.comilla.gov.bd,Madhaiya,4
50,/36/28/81/975/,union,81,975,দোল্লাই নবাবপুর ইউনিয়ন,http://dollainowabpurup.comilla.gov.bd,Dollainowabpur,4
51,/36/28/81/976/,union,81,976,মহিচাইল ইউনিয়ন,http://mohichialup.comilla.gov.bd,Mohichial,4
52,/36/28/81/977/,union,81,977,গল্লাই ইউনিয়ন,http://gollaiup.comilla.gov.bd,Gollai,4
53,/36/28/81/978/,union,81,978,কেরণখাল ইউনিয়ন,http://keronkhalup.comilla.gov.bd,Keronkhal,4
54,/36/28/81/979/,union,81,979,মাইজখার ইউনিয়ন,http://maijkharup.comilla.gov.bd,Maijkhar,4
55,/36/28/81/980/,union,81,980,এতবারপুর ইউনিয়ন,http://etberpurup.comilla.gov.bd,Etberpur,4
56,/36/28/81/981/,union,81,981,বাড়েরা ইউনিয়ন,http://bareraup.comilla.gov.bd,Barera,4
57,/36/28/81/983/,union,81,983,বরকইট ইউনিয়ন,http://borcoitup.comilla.gov.bd,Borcoit,4
58,/36/28/82/,upazilla,28,82,চৌদ্দগ্রাম উপজেলা,http://chauddagram.comilla.gov.bd,Chauddagram Upazilla,3
59,/36/28/82/223/,union,82,223,শ্রীপুর ইউনিয়ন,http://sreepurup.comilla.gov.bd,Sreepur,4
60,/36/28/82/955/,union,82,955,কাশিনগর ইউনিয়ন,http://kashinagarup.comilla.gov.bd,Kashinagar,4
61,/36/28/82/957/,union,82,957,২নং কালিকাপুর ইউনিয়ন,http://kalikapurup.comilla.gov.bd,Kalikapur,4
62,/36/28/82/959/,union,82,959,৪নং শুভপুর ইউনিয়ন,http://shuvapurup.comilla.gov.bd,Shuvapur,4
63,/36/28/82/960/,union,82,960,৫নং ঘোলপাশা ইউনিয়ন,http://ghulpashaup.comilla.gov.bd,Ghulpasha,4
64,/36/28/82/961/,union,82,961,৬নং মুন্সীরহাট ইউনিয়ন,http://moonshirhatup.comilla.gov.bd,Moonshirhat,4
65,/36/28/82/962/,union,82,962,৭নং বাতিসা ইউনিয়ন,http://batishaup.comilla.gov.bd,Batisha,4
66,/36/28/82/963/,union,82,963,৮নং কনকাপৈত ইউনিয়ন,http://kankapaitup.comilla.gov.bd,Kankapait,4
67,/36/28/82/964/,union,82,964,৯নং চিওড়া ইউনিয়ন,http://cheoraup.comilla.gov.bd,Cheora,4
68,/36/28/82/965/,union,82,965,১০ নং জগন্নাথদিঘী ইউনিয়ন,http://jagannatdighiup.comilla.gov.bd,Jagannatdighi,4
69,/36/28/82/966/,union,82,966,১১ নং গুনবতী ইউনিয়ন,http://goonabatiup.comilla.gov.bd,Goonabati,4
70,/36/28/82/967/,union,82,967,১২নং আলকরা ইউনিয়ন,http://alkaraup.comilla.gov.bd,Alkara,4
71,/36/28/82/33275/,union,82,33275,১ নং উজিরপুর ইউনিয়ন,http://ujirpurup.comilla.gov.bd,Ujirpur,4
72,/36/28/83/,upazilla,28,83,দাউদকান্দি উপজেলা,http://daudkandi.comilla.gov.bd,Daudkandi Upazilla,3
73,/36/28/83/249/,union,83,249,দৌলতপুর ইউনিয়ন,http://doulotpurup.comilla.gov.bd,Doulotpur,4
74,/36/28/83/494/,union,83,494,দাউদকান্দি (উত্তর) ইউনিয়ন,http://daudkandinorthup.comilla.gov.bd,Daudkandinorth,4
75,/36/28/83/495/,union,83,495,ইলিয়টগঞ্জ (উত্তর) ইউনিয়ন,http://eliotgonjnorthup.comilla.gov.bd,Eliotgonjnorth,4
76,/36/28/83/496/,union,83,496,ইলিয়টগঞ্জ (দক্ষিন) ইউনিয়ন,http://eliotgonjsouthup.comilla.gov.bd,Eliotgonjsouth,4
77,/36/28/83/497/,union,83,497,জিংলাতলী ইউনিয়ন,http://zinglatoliup.comilla.gov.bd,Zinglatoli,4
78,/36/28/83/498/,union,83,498,সুন্দলপুর ইউনিয়ন,http://sundolpurup.comilla.gov.bd,Sundolpur,4
79,/36/28/83/499/,union,83,499,গৌরীপুর ইউনিয়ন,http://gouripurup.comilla.gov.bd,Gouripur,4
80,/36/28/83/500/,union,83,500,মোহাম্মদপুর (পুর্ব) ইউনিয়ন,http://mohammadpureastup.comilla.gov.bd,Mohammadpureast,4
81,/36/28/83/501/,union,83,501,মোহাম্মদপুর (পশ্চিম) ইউনিয়ন,http://mohammadpurwestup.comilla.gov.bd,Mohammadpurwest,4
82,/36/28/83/502/,union,83,502,গোয়ালমারী ইউনিয়ন,http://goalmariup.comilla.gov.bd,Goalmari,4
83,/36/28/83/504/,union,83,504,মারুকা ইউনিয়ন,http://marukaup.comilla.gov.bd,Maruka,4
84,/36/28/83/505/,union,83,505,বিটেশ্বর ইউনিয়ন,http://betessorup.comilla.gov.bd,Betessor,4
85,/36/28/83/506/,union,83,506,পদুয়া ইউনিয়ন,http://poduaup.comilla.gov.bd,Podua,4
86,/36/28/83/507/,union,83,507,পাচঁগাছিয়া (পশ্চিম) ইউনিয়ন,http://passgaciawestup.comilla.gov.bd,Passgaciawest,4
87,/36/28/83/562/,union,83,562,বারপাড়া ইউনিয়ন,http://baroparaup2.comilla.gov.bd,Baroparaup2,4
88,/36/28/84/,upazilla,28,84,হোমনা উপজেলা,http://homna.comilla.gov.bd,Homna Upazilla,3
89,/36/28/84/485/,union,84,485,মাথাভাঙ্গা ইউনিয়ন,http://mathabangaup.comilla.gov.bd,Mathabanga,4
90,/36/28/84/486/,union,84,486,ঘাগুটিয়া ইউনিয়ন,http://gagutieaup.comilla.gov.bd,Gagutiea,4
91,/36/28/84/488/,union,84,488,আছাদপুর ইউনিয়ন,http://asadpurup.comilla.gov.bd,Asadpur,4
92,/36/28/84/489/,union,84,489,চান্দেরচর ইউনিয়ন,http://chanderchorup.comilla.gov.bd,Chanderchor,4
93,/36/28/84/490/,union,84,490,ভাষানিয়া ইউনিয়ন,http://vashaniaup.comilla.gov.bd,Vashania,4
94,/36/28/84/491/,union,84,491,নিলখী ইউনিয়ন,http://nilokhiup.comilla.gov.bd,Nilokhi,4
95,/36/28/84/492/,union,84,492,ঘারমোড়া ইউনিয়ন,http://garmoraup.comilla.gov.bd,Garmora,4
96,/36/28/84/493/,union,84,493,জয়পুর ইউনিয়ন,http://joypurup.comilla.gov.bd,Joypur,4
97,/36/28/84/3127/,union,84,3127,দুলালপুর ইউনিয়ন,http://dulalpurup1.comilla.gov.bd,Dulalpurup1,4
98,/36/28/85/,upazilla,28,85,লাকসাম উপজেলা,http://laksam.comilla.gov.bd,Laksam Upazilla,3
99,/36/28/85/1216/,union,85,1216,বাকই ইউনিয়ন,http://bakoiup.comilla.gov.bd,Bakoi,4
100,/36/28/85/1788/,union,85,1788,মুদাফফর গঞ্জ ইউনিয়ন,http://mudafargonjup.comilla.gov.bd,Mudafargonj,4
101,/36/28/85/1789/,union,85,1789,কান্দিরপাড় ইউনিয়ন,http://kandirparup.comilla.gov.bd,Kandirpar,4
102,/36/28/85/1790/,union,85,1790,গোবিন্দপুর ইউনিয়ন (2),"http://gobindapurup.comilla.gov.bd ",Gobindapur,4
103,/36/28/85/1791/,union,85,1791,উত্তরদা ইউনিয়ন,http://uttardaup.comilla.gov.bd,Uttarda,4
104,/36/28/85/2895/,union,85,2895,লাকসাম পুর্ব ইউনিয়ন,http://laksampurbaup.comilla.gov.bd,Laksampurba,4
105,/36/28/85/2896/,union,85,2896,আজগরা ইউনিয়ন,http://azgoraup.comilla.gov.bd,Azgora,4
106,/36/28/86/,upazilla,28,86,মুরাদনগর উপজেলা,http://muradnagar.comilla.gov.bd,Muradnagar Upazilla,3
107,/36/28/86/1025/,union,86,1025,১নং শ্রীকাইল ইউনিয়ন,http://sreekilup.comilla.gov.bd,Sreekil,4
108,/36/28/86/1026/,union,86,1026,২নং আকুবপুর ইউনিয়ন,http://akubpurup.comilla.gov.bd,Akubpur,4
109,/36/28/86/1027/,union,86,1027,৩নং আন্দিকোট ইউনিয়ন,http://andicotup.comilla.gov.bd,Andicot,4
110,/36/28/86/1028/,union,86,1028,৪নং পুর্বধৈইর (পুর্ব) ইউনিয়ন,http://purbadaireastup.comilla.gov.bd,Purbadaireast,4
111,/36/28/86/1029/,union,86,1029,৫নং পুর্বধৈইর (পশ্চিম) ইউনিয়ন,http://purbadairwestup.comilla.gov.bd,Purbadairwest,4
112,/36/28/86/1030/,union,86,1030,৬নং বাঙ্গরা (পূর্ব) ইউনিয়ন,http://bangaraeastup.comilla.gov.bd,Bangaraeast,4
113,/36/28/86/1031/,union,86,1031,৭নং বাঙ্গরা (পশ্চিম) ইউনিয়ন,http://bangarawestup.comilla.gov.bd,Bangarawest,4
114,/36/28/86/1032/,union,86,1032,৮নং চাপিতলা ইউনিয়ন,http://chapitalaup.comilla.gov.bd,Chapitala,4
115,/36/28/86/1033/,union,86,1033,৯নং কামাল্লা ইউনিয়ন,http://camallaup.comilla.gov.bd,Camalla,4
116,/36/28/86/1034/,union,86,1034,১০নং যাত্রাপুর ইউনিয়ন,http://jatrapurup.comilla.gov.bd,Jatrapur,4
117,/36/28/86/1082/,union,86,1082,রামচন্দ্রপুর উত্তর ইউনিয়ন,http://ramachandrapurnorthup.comilla.gov.bd,Ramachandrapurnorth,4
118,/36/28/86/1083/,union,86,1083,রামচন্দ্রপুর দক্ষিন ইউনিয়ন,http://ramachandrapursouthup.comilla.gov.bd,Ramachandrapursouth,4
119,/36/28/86/1084/,union,86,1084,১১ নং মুরাদনগর সদর ইউনিয়ন,http://muradnagarsadarup.comilla.gov.bd,Muradnagarsadar,4
120,/36/28/86/1085/,union,86,1085,১২নং নবীপুর (পুর্ব) ইউনিয়ন,http://nobipureastup.comilla.gov.bd,Nobipureast,4
121,/36/28/86/1086/,union,86,1086,১৩নং নবীপুর (পশ্চিম) ইউনিয়ন,http://nobipurwestup.comilla.gov.bd,Nobipurwest,4
122,/36/28/86/1087/,union,86,1087,১৪নং ধামঘর ইউনিয়ন,http://damgarup.comilla.gov.bd,Damgar,4
123,/36/28/86/1088/,union,86,1088,১৫নং জাহাপুর ইউনিয়ন,http://jahapurup.comilla.gov.bd,Jahapur,4
124,/36/28/86/1089/,union,86,1089,১৬নং ছালিয়াকান্দি ইউনিয়ন,http://salikandiup.comilla.gov.bd,Salikandi,4
125,/36/28/86/1090/,union,86,1090,১৭নং দারোরা ইউনিয়ন,http://daruraup.comilla.gov.bd,Darura,4
126,/36/28/86/1091/,union,86,1091,১৮নং পাহাড়পুর ইউনিয়ন,http://paharpurup.comilla.gov.bd,Paharpur,4
127,/36/28/86/1092/,union,86,1092,২১নং বাবুটিপাড়া ইউনিয়ন,http://babutiparaup.comilla.gov.bd,Babutipara,4
128,/36/28/86/1093/,union,86,1093,২২নং টনকী ইউনিয়ন,http://tankiup.comilla.gov.bd,Tanki,4
129,/36/28/87/,upazilla,28,87,নাঙ্গলকোট উপজেলা,http://nangalkot.comilla.gov.bd,Nangalkot Upazilla,3
130,/36/28/87/1192/,union,87,1192,বাঙ্গড্ডা ইউনিয়ন,http://bangadda.comilla.gov.bd,Bangadda,4
131,/36/28/87/1193/,union,87,1193,পেরিয়া ইউনিয়ন,http://pariaup.comilla.gov.bd,Paria,4
132,/36/28/87/1194/,union,87,1194,রায়কোট ইউনিয়ন,http://raykotup.comilla.gov.bd,Raykot,4
133,/36/28/87/1195/,union,87,1195,মোকরা ইউনিয়ন,http://mokaraup.comilla.gov.bd,Mokara,4
134,/36/28/87/1196/,union,87,1196,মক্রবপুর ইউনিয়ন,http://makrabpurup.comilla.gov.bd,Makrabpur,4
135,/36/28/87/1197/,union,87,1197,হেসাখাল ইউনিয়ন,http://heshakhalup.comilla.gov.bd,Heshakhal,4
136,/36/28/87/1198/,union,87,1198,আদ্রা ইউনিয়ন,http://adraup.comilla.gov.bd,Adra,4
137,/36/28/87/1199/,union,87,1199,জোড্ডা ইউনিয়ন,http://juddaup.comilla.gov.bd,Judda,4
138,/36/28/87/1200/,union,87,1200,ঢালুয়া ইউনিয়ন,http://dhaluaup.comilla.gov.bd,Dhalua,4
139,/36/28/87/1201/,union,87,1201,দৌলখাঁড় ইউনিয়ন,http://doulkhaup.comilla.gov.bd,Doulkha,4
140,/36/28/87/1202/,union,87,1202,বক্সগঞ্জ ইউনিয়ন,http://boxgonjup.comilla.gov.bd,Boxgonj,4
141,/36/28/87/1204/,union,87,1204,সাতবাড়ীয়া ইউনিয়ন,http://satbariaup.comilla.gov.bd,Satbaria,4
142,/36/28/87/6204/,union,87,6204,বটতলী ইউনিয়ন,http://battaliup.comilla.gov.bd,Battali,4
143,/36/28/88/,upazilla,28,88,কুমিল্লা সদর উপজেলা,http://comillasadar.comilla.gov.bd,Cumillasadar Upazilla,3
144,/36/28/88/565/,union,88,565,কালীর বাজার ইউনিয়ন,http://kalirbazerup.comilla.gov.bd,Kalirbazer,4
145,/36/28/88/566/,union,88,566,দুর্গাপুর (উত্তর) ইউনিয়ন,http://durgapurnorthup.comilla.gov.bd,Durgapurnorth,4
146,/36/28/88/567/,union,88,567,দুর্গাপুর (দক্ষিন) ইউনিয়ন,http://durgapursouthup.comilla.gov.bd,Durgapursouth,4
147,/36/28/88/569/,union,88,569,আমড়াতলী ইউনিয়ন,http://amratoliup.comilla.gov.bd,Amratoli,4
148,/36/28/88/570/,union,88,570,পাঁচথুবী ইউনিয়ন,http://panchthubiup.comilla.gov.bd,Panchthubi,4
149,/36/28/88/571/,union,88,571,জগন্নাথপুর ইউনিয়ন,http://jagannatpurup.comilla.gov.bd,Jagannatpur,4
150,/36/28/89/,upazilla,28,89,মেঘনা উপজেলা,http://meghna.comilla.gov.bd,Meghna Upazilla,3
151,/36/28/89/692/,union,89,692,চন্দনপুর ইউনিয়ন,http://chandanpurup.comilla.gov.bd,Chandanpur,4
152,/36/28/89/971/,union,89,971,২নং চালিভাঙ্গা ইউনিয়ন,http://chalibangaup.comilla.gov.bd,Chalibanga,4
153,/36/28/89/984/,union,89,984,৩নং রাধানগর ইউনিয়ন,http://radanagarup.comilla.gov.bd,Radanagar,4
154,/36/28/89/1010/,union,89,1010,৪নং মানিকারচর ইউনিয়ন,http://manikarcharup.comilla.gov.bd,Manikarchar,4
155,/36/28/89/1011/,union,89,1011,৫নং বড়কান্দা ইউনিয়ন,http://barakandaup.comilla.gov.bd,Barakanda,4
156,/36/28/89/1012/,union,89,1012,৬নং গোবিন্দপুর ইউনিয়ন,http://govindapurup1.comilla.gov.bd,Govindapurup1,4
157,/36/28/89/1013/,union,89,1013,৭নং লুটেরচর ইউনিয়ন,http://lutercharup.comilla.gov.bd,Luterchar,4
158,/36/28/89/1014/,union,89,1014,৮নং ভাওরখোলা ইউনিয়ন,http://vaorkholaup.comilla.gov.bd,Vaorkhola,4
159,/36/28/90/,upazilla,28,90,মনোহরগঞ্জ উপজেলা,http://monohargonj.comilla.gov.bd,Monohargonj Upazilla,3
160,/36/28/90/1205/,union,90,1205,বাইশগাঁও ইউনিয়ন,http://baishgaonup.comilla.gov.bd,Baishgaon,4
161,/36/28/90/1206/,union,90,1206,সরসপুর ইউনিয়ন,http://shoroshpurup.comilla.gov.bd,Shoroshpur,4
162,/36/28/90/1207/,union,90,1207,হাসনাবাদ ইউনিয়ন,http://hasnabadup.comilla.gov.bd,Hasnabad,4
163,/36/28/90/1208/,union,90,1208,৪নং ঝলম উত্তর ইউনিয়ন,http://jholamnorthup.comilla.gov.bd,Jholamnorth,4
164,/36/28/90/1209/,union,90,1209,৫নং ঝলম দক্ষিন ইউনিয়ন,http://jholamsouthup.comilla.gov.bd,Jholamsouth,4
165,/36/28/90/1210/,union,90,1210,মৈশাতুয়া ইউনিয়ন,http://moishatuaup.comilla.gov.bd,Moishatua,4
166,/36/28/90/1211/,union,90,1211,লক্ষনপুর ইউনিয়ন,http://lokkhanpurup.comilla.gov.bd,Lokkhanpur,4
167,/36/28/90/1212/,union,90,1212,খিলা ইউনিয়ন,http://khelaup.comilla.gov.bd,Khela,4
168,/36/28/90/1213/,union,90,1213,উত্তর হাওলা ইউনিয়ন,http://uttarhowlaup.comilla.gov.bd,Uttarhowla,4
169,/36/28/90/1214/,union,90,1214,নাথেরপেটুয়া ইউনিয়ন,http://natherpetuaup.comilla.gov.bd,Natherpetua,4
170,/36/28/90/1215/,union,90,1215,বিপুলাসার ইউনিয়ন,http://bipulasharup.comilla.gov.bd,Bipulashar,4
171,/36/28/91/,upazilla,28,91,সদর দক্ষিণ উপজেলা,http://sadarsouth.comilla.gov.bd,Sadarsouth Upazilla,3
172,/36/28/91/469/,union,91,469,চৌয়ারা ইউনিয়ন,http://chuwaraup.comilla.gov.bd,Chuwara,4
173,/36/28/91/472/,union,91,472,বারপাড়া ইউনিয়ন,http://baroparaup1.comilla.gov.bd,Baroparaup1,4
174,/36/28/91/473/,union,91,473,জোড়কানন (পুর্ব) ইউনিয়ন,http://jorkanoneastup.comilla.gov.bd,Jorkanoneast,4
175,/36/28/91/474/,union,91,474,গলিয়ারা ইউনিয়ন,http://goliaraup.comilla.gov.bd,Goliara,4
176,/36/28/91/475/,union,91,475,জোড়কানন (পশ্চিম) ইউনিয়ন,http://jorkanonwestup.comilla.gov.bd,Jorkanonwest,4
177,/36/28/91/476/,union,91,476,বাগমারা (উত্তর) ইউনিয়ন,http://bagmaranorthup.comilla.gov.bd,Bagmaranorth,4
178,/36/28/91/477/,union,91,477,বাগমারা (দক্ষিন) ইউনিয়ন,http://bagmarasouthup.comilla.gov.bd,Bagmarasouth,4
179,/36/28/91/478/,union,91,478,ভূলইন (উত্তর) ইউনিয়ন,http://bhuloinnorthup.comilla.gov.bd,Bhuloinnorth,4
180,/36/28/91/479/,union,91,479,ভূলইন (দক্ষিন) ইউনিয়ন,http://bhuloinsouthup.comilla.gov.bd,Bhuloinsouth,4
181,/36/28/91/480/,union,91,480,বেলঘর (উত্তর) ইউনিয়ন,http://belgornorthup.comilla.gov.bd,Belgornorth,4
182,/36/28/91/481/,union,91,481,বেলঘর (দক্ষিন) ইউনিয়ন,http://belgorsouthup.comilla.gov.bd,Belgorsouth,4
183,/36/28/91/482/,union,91,482,পেরুল (উত্তর) ইউনিয়ন,http://perulnorthup.comilla.gov.bd,Perulnorth,4
184,/36/28/91/483/,union,91,483,পেরুল (দক্ষিন) ইউনিয়ন,http://perulsouthup.comilla.gov.bd,Perulsouth,4
185,/36/28/91/484/,union,91,484,বিজয়পুর ইউনিয়ন,http://bijoypurup.comilla.gov.bd,Bijoypur,4
186,/36/28/92/,upazilla,28,92,তিতাস উপজেলা,http://titas.comilla.gov.bd,Titas Upazilla,3
187,/36/28/92/1016/,union,92,1016,১নং সাতানী ইউনিয়ন,http://sataniup.comilla.gov.bd,Satani,4
188,/36/28/92/1017/,union,92,1017,২নং জগতপুর ইউনিয়ন,http://jagatpurup.comilla.gov.bd,Jagatpur,4
189,/36/28/92/1018/,union,92,1018,৩নং বলরামপুর ইউনিয়ন,http://balorampurup.comilla.gov.bd,Balorampur,4
190,/36/28/92/1019/,union,92,1019,৪নং কড়িকান্দি ইউনিয়ন,http://karikandiup.comilla.gov.bd,Karikandi,4
191,/36/28/92/1020/,union,92,1020,৫নং কলাকান্দি ইউনিয়ন,http://kalakandiup.comilla.gov.bd,Kalakandi,4
192,/36/28/92/1021/,union,92,1021,৬নং ভিটিকান্দি ইউনিয়ন,http://vitikandiup.comilla.gov.bd,Vitikandi,4
193,/36/28/92/1022/,union,92,1022,৭নং নারান্দিয়া ইউনিয়ন,http://narayandiaup.comilla.gov.bd,Narayandia,4
194,/36/28/92/1023/,union,92,1023,৮নং জিয়ারকান্দি ইউনিয়ন,http://zearkandiup.comilla.gov.bd,Zearkandi,4
195,/36/28/92/1024/,union,92,1024,৯নং মজিদপুর ইউনিয়ন,http://majidpurup.comilla.gov.bd,Majidpur,4
196,/36/28/111/,upazilla,28,111,বুড়িচং উপজেলা,http://burichang.comilla.gov.bd,Burichang Upazilla,3
197,/36/28/111/775/,union,111,775,ময়নামতি ইউনিয়ন,http://moynamotiup.comilla.gov.bd,Moynamoti,4
198,/36/28/111/776/,union,111,776,ভারেল্লা ইউনিয়ন,http://varellaup.comilla.gov.bd,Varella,4
199,/36/28/111/777/,union,111,777,মোকাম ইউনিয়ন,http://mokamup.comilla.gov.bd,Mokam,4
200,/36/28/111/778/,union,111,778,বুড়িচং সদর ইউনিয়ন,http://burichangsadarup.comilla.gov.bd,Burichangsadar,4
201,/36/28/111/779/,union,111,779,বাকশীমূল ইউনিয়ন,http://bakshimulup.comilla.gov.bd,Bakshimul,4
202,/36/28/111/781/,union,111,781,পীরযাত্রাপুর ইউনিয়ন,http://pirjatrapurup.comilla.gov.bd,Pirjatrapur,4
203,/36/28/111/782/,union,111,782,ষোলনল ইউনিয়ন,http://sholonalup.comilla.gov.bd,Sholonal,4
204,/36/28/111/785/,union,111,785,রাজাপুর ইউনিয়ন,http://rajapurup.comilla.gov.bd,Rajapur,4
205,/36/28/6195/,upazilla,28,6195,লালমাই উপজেলা,http://lalmai.comilla.gov.bd,Lalmai Upazilla,3
206,/36/28/6195/6196/,union,6195,6196,বাগমারা (উত্তর) ইউনিয়ন,http://bagmaranorthup.comilla.gov.bd,Bagmaranorth,4
207,/36/28/6195/6197/,union,6195,6197,বাগমারা (দক্ষিন) ইউনিয়ন,http://bagmarasouthup.comilla.gov.bd,Bagmarasouth,4
208,/36/28/6195/6198/,union,6195,6198,ভূলইন (উত্তর) ইউনিয়ন,http://bhuloinnorthup.comilla.gov.bd,Bhuloinnorth,4
